Attrition,Hiring Year,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Age,Education,Job Involvement,Job Level,Job Satisfaction,Num Companies Worked,Performance Rating,Relationship Satisfaction,Total Working Years,Work Life Balance
No,2022,Travel_Rarely,Sales,Life Sciences,STAFF-418,Female,Manager,Married,No,40,Master's Degree,3,5,3,0,3,4,21,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-419,Female,Research Scientist,Divorced,No,26,Bachelor's Degree,3,1,4,1,4,2,3,1
No,2023,Non-Travel,R&D,Life Sciences,STAFF-420,Male,Laboratory Technician,Married,No,30,Bachelor's Degree,3,1,4,4,3,3,9,1
No,2023,Travel_Rarely,R&D,Medical,STAFF-421,Male,Research Director,Married,No,29,Master's Degree,2,3,3,1,3,3,10,3
Yes,2022,Travel_Rarely,R&D,Technical Degree,STAFF-422,Female,Research Scientist,Married,No,29,Doctoral Degree,2,1,2,5,3,2,6,4
Yes,2021,Travel_Rarely,HR,Technical Degree,STAFF-423,Male,Human Resources,Single,No,19,Associates Degree,2,1,4,1,3,3,1,4
No,2023,Non-Travel,Sales,Other,STAFF-424,Female,Sales Executive,Married,No,30,Master's Degree,3,3,1,0,3,3,10,3
No,2023,Travel_Rarely,Sales,Marketing,STAFF-425,Male,Manager,Divorced,No,57,Bachelor's Degree,2,4,4,3,3,3,32,2
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-426,Male,Manager,Married,No,50,Master's Degree,2,4,3,0,3,2,28,3
No,2021,Non-Travel,R&D,Medical,STAFF-427,Female,Laboratory Technician,Single,No,30,Bachelor's Degree,3,1,4,0,3,3,12,2
No,2023,Travel_Frequently,Sales,Marketing,STAFF-428,Female,Sales Executive,Married,No,60,Bachelor's Degree,2,3,1,4,3,4,22,4
No,2020,Travel_Rarely,R&D,Medical,STAFF-429,Female,Manufacturing Director,Divorced,No,47,Associates Degree,3,2,4,5,3,3,20,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-430,Male,Research Director,Married,No,46,Bachelor's Degree,3,4,3,6,3,3,26,1
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-431,Male,Laboratory Technician,Single,No,35,Bachelor's Degree,1,1,3,0,3,3,6,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-432,Female,Laboratory Technician,Single,No,54,Master's Degree,3,2,3,7,3,3,19,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-433,Male,Research Scientist,Divorced,No,34,Master's Degree,2,1,3,3,3,3,14,3
No,2021,Travel_Rarely,Sales,Marketing,STAFF-434,Female,Sales Executive,Married,Yes,46,Bachelor's Degree,2,3,4,2,3,3,15,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-435,Male,Manufacturing Director,Divorced,No,31,High School,3,3,2,1,4,4,13,4
Yes,2020,Travel_Rarely,R&D,Medical,STAFF-436,Male,Manager,Married,Yes,33,High School,3,3,3,7,3,4,15,4
Yes,2020,Travel_Rarely,R&D,Medical,STAFF-437,Male,Laboratory Technician,Divorced,No,33,High School,1,1,4,7,3,1,8,3
No,2023,Travel_Rarely,Sales,Marketing,STAFF-438,Male,Sales Representative,Single,No,30,High School,3,1,2,0,3,1,4,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-439,Male,Healthcare Representative,Married,Yes,35,Bachelor's Degree,3,3,3,4,3,3,10,3
Yes,2021,Travel_Frequently,R&D,Life Sciences,STAFF-440,Male,Healthcare Representative,Married,No,31,Bachelor's Degree,3,3,3,3,3,1,12,3
Yes,2020,Travel_Frequently,HR,Human Resources,STAFF-441,Female,Human Resources,Divorced,Yes,34,Bachelor's Degree,3,3,1,9,3,3,11,3
No,2023,Travel_Frequently,R&D,Other,STAFF-442,Male,Laboratory Technician,Married,No,42,Associates Degree,3,1,3,4,3,4,8,3
No,2023,Non-Travel,Sales,Medical,STAFF-443,Male,Sales Executive,Single,No,36,Master's Degree,3,3,4,1,3,4,10,2
Yes,2021,Travel_Frequently,R&D,Technical Degree,STAFF-444,Male,Laboratory Technician,Single,No,22,High School,2,1,3,5,3,3,4,3
No,2021,Travel_Rarely,Sales,Marketing,STAFF-445,Female,Sales Executive,Married,No,48,Doctoral Degree,3,2,4,2,3,1,14,3
No,2023,Travel_Rarely,Sales,Life Sciences,STAFF-446,Female,Manager,Single,No,55,Doctoral Degree,3,4,2,3,4,4,37,3
No,2021,Non-Travel,Sales,Life Sciences,STAFF-447,Male,Sales Executive,Single,No,41,Associates Degree,3,2,4,7,3,4,16,3
No,2021,Travel_Rarely,Sales,Marketing,STAFF-448,Male,Sales Executive,Married,No,35,Bachelor's Degree,3,2,3,9,3,3,15,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-449,Female,Manufacturing Director,Single,No,40,Bachelor's Degree,3,4,3,7,3,3,22,3
No,2020,Travel_Frequently,R&D,Life Sciences,STAFF-450,Female,Laboratory Technician,Married,No,39,High School,3,1,3,1,3,1,8,3
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-451,Male,Sales Executive,Single,Yes,31,High School,3,2,4,4,3,3,10,4
No,2022,Travel_Rarely,R&D,Medical,STAFF-452,Male,Manufacturing Director,Married,Yes,42,Bachelor's Degree,3,3,1,1,4,4,10,2
No,2022,Travel_Rarely,Sales,Other,STAFF-453,Male,Sales Executive,Married,No,45,Bachelor's Degree,3,2,2,0,3,2,9,4
Yes,2022,Travel_Frequently,HR,Life Sciences,STAFF-454,Female,Human Resources,Divorced,Yes,26,Master's Degree,3,1,3,0,3,2,8,2
No,2023,Travel_Rarely,R&D,Technical Degree,STAFF-455,Male,Manufacturing Director,Divorced,No,29,Bachelor's Degree,3,2,4,4,3,2,8,4
No,2021,Travel_Rarely,R&D,Medical,STAFF-456,Female,Research Director,Divorced,No,33,Doctoral Degree,4,4,3,4,3,3,10,3
No,2022,Travel_Rarely,Sales,Life Sciences,STAFF-457,Male,Manager,Divorced,No,31,Bachelor's Degree,2,3,4,9,4,3,10,2
Yes,2021,Travel_Frequently,Sales,Marketing,STAFF-458,Male,Sales Representative,Single,Yes,18,Bachelor's Degree,3,1,2,1,3,4,0,3
No,2020,Non-Travel,Sales,Other,STAFF-459,Male,Sales Executive,Divorced,No,40,Bachelor's Degree,1,3,1,3,3,3,20,3
No,2021,Non-Travel,R&D,Other,STAFF-460,Female,Healthcare Representative,Single,Yes,41,Master's Degree,2,2,3,2,3,1,10,3
No,2023,Travel_Rarely,Sales,Medical,STAFF-461,Male,Sales Executive,Divorced,No,26,Associates Degree,3,2,3,5,3,1,8,3
No,2023,Travel_Rarely,Sales,Medical,STAFF-462,Female,Sales Executive,Single,No,35,Bachelor's Degree,3,2,3,1,3,4,5,3
No,2020,Travel_Rarely,Sales,Life Sciences,STAFF-463,Male,Sales Executive,Single,No,34,Master's Degree,4,2,4,1,3,4,10,3
Yes,2021,Travel_Rarely,R&D,Technical Degree,STAFF-464,Male,Laboratory Technician,Single,Yes,26,Bachelor's Degree,1,1,4,1,3,2,1,1
No,2020,Travel_Rarely,R&D,Technical Degree,STAFF-465,Female,Manufacturing Director,Single,No,37,Bachelor's Degree,3,3,4,4,3,4,12,4
No,2020,Travel_Frequently,R&D,Medical,STAFF-466,Female,Healthcare Representative,Married,No,46,High School,3,3,3,5,3,4,28,2
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-467,Female,Manager,Married,No,41,Doctoral Degree,3,4,1,7,3,2,22,3
No,2020,Non-Travel,Sales,Medical,STAFF-468,Male,Sales Executive,Divorced,No,37,Master's Degree,3,3,2,1,3,4,9,3
No,2020,Travel_Rarely,R&D,Technical Degree,STAFF-469,Male,Research Scientist,Divorced,Yes,52,Associates Degree,3,2,1,3,3,2,18,3
Yes,2020,Non-Travel,Sales,Other,STAFF-470,Male,Sales Executive,Married,No,32,Master's Degree,4,2,3,8,3,4,6,3
No,2021,Travel_Frequently,Sales,Medical,STAFF-471,Male,Sales Representative,Married,No,24,Bachelor's Degree,3,1,4,0,3,3,3,3
No,2021,Travel_Rarely,R&D,Medical,STAFF-472,Female,Healthcare Representative,Married,No,38,Bachelor's Degree,3,2,3,3,3,3,18,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-473,Female,Manufacturing Director,Married,No,37,Master's Degree,3,2,2,6,3,2,8,2
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-474,Male,Research Director,Divorced,Yes,49,Master's Degree,2,5,3,1,3,3,31,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-475,Male,Research Scientist,Married,Yes,24,Bachelor's Degree,4,1,4,1,3,2,6,3
No,2022,Travel_Rarely,Sales,Marketing,STAFF-476,Male,Sales Executive,Married,No,26,Associates Degree,3,2,2,1,4,4,6,4
No,2020,Travel_Rarely,R&D,Other,STAFF-477,Male,Laboratory Technician,Married,No,24,Associates Degree,2,1,2,1,4,4,1,3
No,2022,Travel_Frequently,HR,Medical,STAFF-478,Male,Manager,Married,No,50,Bachelor's Degree,3,5,2,1,3,3,32,3
No,2020,Travel_Rarely,Sales,Medical,STAFF-479,Male,Sales Representative,Married,No,25,High School,3,1,3,1,3,3,7,3
Yes,2022,Travel_Frequently,R&D,Life Sciences,STAFF-480,Female,Laboratory Technician,Married,Yes,24,Bachelor's Degree,3,1,3,1,3,4,6,3
Yes,2022,Travel_Frequently,Sales,Life Sciences,STAFF-481,Male,Sales Representative,Married,No,30,Master's Degree,2,1,1,1,3,3,1,4
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-482,Male,Research Scientist,Married,Yes,34,Associates Degree,2,1,4,1,3,4,6,3
Yes,2022,Travel_Rarely,Sales,Medical,STAFF-483,Male,Sales Executive,Divorced,No,31,Master's Degree,3,2,1,2,3,3,9,1
No,2020,Travel_Rarely,R&D,Other,STAFF-484,Male,Laboratory Technician,Single,No,35,Associates Degree,2,2,4,4,3,4,9,3
No,2021,Travel_Rarely,Sales,Medical,STAFF-485,Male,Sales Executive,Divorced,No,31,Master's Degree,4,2,4,4,4,4,13,4
No,2023,Travel_Rarely,R&D,Medical,STAFF-486,Female,Research Scientist,Divorced,No,27,Master's Degree,2,1,3,0,3,3,6,2
No,2020,Travel_Rarely,Sales,Marketing,STAFF-487,Male,Sales Executive,Married,Yes,37,Bachelor's Degree,3,2,3,4,3,3,17,2
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-488,Female,Research Scientist,Single,No,20,Bachelor's Degree,2,1,2,1,3,4,1,4
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-489,Female,Healthcare Representative,Married,No,42,Master's Degree,3,2,4,1,3,2,10,3
No,2022,Travel_Rarely,R&D,Other,STAFF-490,Male,Research Director,Divorced,Yes,43,Master's Degree,2,4,4,4,3,3,21,2
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-491,Female,Research Scientist,Single,No,38,High School,3,1,1,3,3,4,8,2
No,2021,Travel_Frequently,R&D,Medical,STAFF-492,Male,Laboratory Technician,Divorced,Yes,43,Doctoral Degree,3,2,3,3,3,2,10,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-493,Female,Manager,Married,No,48,Master's Degree,2,4,1,7,3,1,21,1
No,2022,Travel_Rarely,HR,Life Sciences,STAFF-494,Female,Human Resources,Single,No,44,Master's Degree,2,2,3,4,3,2,10,4
No,2020,Travel_Rarely,Sales,Technical Degree,STAFF-495,Female,Sales Representative,Divorced,Yes,34,Bachelor's Degree,3,1,3,1,3,4,8,3
Yes,2021,Travel_Rarely,Sales,Marketing,STAFF-496,Male,Sales Representative,Divorced,No,27,High School,3,1,1,0,3,2,5,3
No,2021,Travel_Rarely,Sales,Technical Degree,STAFF-497,Male,Sales Representative,Single,No,21,High School,3,1,3,1,3,3,3,3
No,2021,Travel_Rarely,R&D,Other,STAFF-498,Male,Manager,Married,Yes,44,Master's Degree,3,5,4,4,3,1,26,4
No,2023,Travel_Rarely,R&D,Medical,STAFF-499,Male,Research Scientist,Married,No,22,High School,3,1,3,0,4,4,3,3
No,2023,Travel_Rarely,Sales,Marketing,STAFF-500,Male,Sales Executive,Divorced,No,33,Master's Degree,3,2,3,0,3,4,6,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-501,Female,Research Scientist,Married,Yes,32,Master's Degree,3,2,4,1,3,4,6,2
No,2021,Travel_Frequently,R&D,Medical,STAFF-502,Female,Research Scientist,Divorced,No,30,Bachelor's Degree,3,1,3,1,4,3,1,3
No,2020,Travel_Rarely,Sales,Medical,STAFF-503,Female,Sales Executive,Single,No,53,High School,3,2,1,7,4,4,18,4
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-504,Male,Research Scientist,Married,No,34,Doctoral Degree,3,1,4,1,3,4,10,2
Yes,2021,Travel_Frequently,Sales,Life Sciences,STAFF-505,Female,Sales Executive,Married,No,45,Master's Degree,3,2,1,2,3,4,5,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-506,Female,Laboratory Technician,Married,Yes,26,Bachelor's Degree,3,1,4,1,3,3,3,3
No,2022,Travel_Rarely,R&D,Other,STAFF-507,Male,Manufacturing Director,Married,No,37,Bachelor's Degree,3,3,3,1,3,3,10,3
No,2020,Travel_Rarely,Sales,Medical,STAFF-508,Female,Sales Executive,Married,No,29,Associates Degree,3,2,3,1,3,1,6,2
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-509,Male,Research Scientist,Single,No,35,Master's Degree,1,2,4,1,3,2,17,3
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-510,Male,Healthcare Representative,Divorced,No,33,Bachelor's Degree,3,2,4,3,4,3,15,1
No,2022,Travel_Rarely,HR,Medical,STAFF-511,Male,Human Resources,Married,No,54,Master's Degree,3,3,2,2,3,3,16,4
No,2020,Travel_Rarely,R&D,Medical,STAFF-512,Male,Manufacturing Director,Divorced,Yes,36,Associates Degree,2,2,2,2,3,3,13,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-513,Male,Research Scientist,Single,No,27,Master's Degree,2,1,4,0,3,4,5,3
Yes,2023,Travel_Rarely,R&D,Medical,STAFF-514,Male,Research Scientist,Single,Yes,20,High School,3,1,3,1,3,4,1,3
Yes,2023,Travel_Frequently,R&D,Life Sciences,STAFF-515,Male,Research Scientist,Single,Yes,33,Bachelor's Degree,3,1,1,1,3,1,10,3
No,2022,Non-Travel,R&D,Life Sciences,STAFF-516,Male,Laboratory Technician,Married,No,35,Bachelor's Degree,2,1,3,1,3,3,1,3
No,2021,Travel_Rarely,R&D,Medical,STAFF-517,Male,Research Scientist,Married,No,23,Bachelor's Degree,4,1,1,2,3,1,5,4
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-518,Male,Sales Executive,Married,No,25,Bachelor's Degree,4,2,2,0,4,3,4,3
No,2023,Travel_Rarely,Sales,Marketing,STAFF-519,Female,Sales Executive,Single,No,38,Master's Degree,2,2,4,0,4,1,8,3
No,2023,Travel_Frequently,R&D,Life Sciences,STAFF-520,Male,Research Scientist,Divorced,No,29,Master's Degree,1,1,4,1,3,4,10,3
No,2021,Travel_Rarely,Sales,Marketing,STAFF-521,Male,Sales Executive,Married,No,48,High School,4,2,2,3,3,4,12,3
No,2020,Travel_Frequently,Sales,Medical,STAFF-522,Female,Sales Executive,Divorced,Yes,27,High School,4,2,4,1,4,2,6,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-523,Male,Research Scientist,Single,No,37,Associates Degree,4,1,4,3,3,1,4,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-524,Male,Laboratory Technician,Married,Yes,50,High School,4,1,3,1,3,3,20,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-525,Female,Healthcare Representative,Single,No,34,Bachelor's Degree,2,3,2,1,3,2,9,4
Yes,2023,Travel_Rarely,Sales,Life Sciences,STAFF-526,Female,Sales Executive,Single,No,24,Associates Degree,3,2,3,9,3,1,4,3
No,2020,Travel_Rarely,R&D,Technical Degree,STAFF-527,Female,Healthcare Representative,Single,No,39,Master's Degree,2,2,3,1,3,1,20,3
No,2021,Travel_Rarely,Sales,Marketing,STAFF-528,Male,Sales Executive,Single,No,32,Bachelor's Degree,3,2,4,1,3,4,10,2
Yes,2022,Travel_Frequently,Sales,Technical Degree,STAFF-529,Male,Sales Executive,Married,Yes,50,Associates Degree,3,2,3,3,3,1,18,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-530,Female,Healthcare Representative,Single,No,38,Master's Degree,4,2,4,0,3,3,10,2
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-531,Female,Manufacturing Director,Married,No,27,Associates Degree,3,3,1,1,3,4,9,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-532,Female,Research Director,Single,No,32,Associates Degree,3,3,4,3,3,4,10,3
No,2022,Travel_Rarely,Sales,Marketing,STAFF-533,Male,Sales Executive,Single,No,47,Master's Degree,3,2,1,2,3,4,20,3
No,2022,Travel_Frequently,Sales,Life Sciences,STAFF-534,Male,Sales Executive,Married,Yes,40,Master's Degree,2,3,1,5,4,3,20,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-535,Male,Research Director,Married,No,53,Bachelor's Degree,4,4,3,3,3,3,32,3
No,2023,Travel_Rarely,HR,Human Resources,STAFF-536,Male,Manager,Divorced,No,41,Master's Degree,2,5,4,3,3,2,23,2
No,2021,Travel_Rarely,Sales,Marketing,STAFF-537,Male,Sales Executive,Single,No,60,Master's Degree,3,2,1,8,3,4,10,3
No,2023,Travel_Frequently,R&D,Life Sciences,STAFF-538,Male,Manufacturing Director,Divorced,No,27,Associates Degree,3,3,1,1,4,3,9,2
No,2022,Travel_Rarely,HR,Human Resources,STAFF-539,Male,Manager,Married,No,41,Bachelor's Degree,2,5,3,1,3,2,22,3
No,2020,Travel_Rarely,Sales,Marketing,STAFF-540,Male,Sales Representative,Married,No,50,Master's Degree,3,1,2,7,3,4,4,3
Yes,2021,Travel_Rarely,R&D,Life Sciences,STAFF-541,Female,Research Scientist,Single,Yes,28,Associates Degree,1,1,2,7,3,4,10,3
No,2021,Non-Travel,R&D,Life Sciences,STAFF-542,Female,Research Director,Married,No,36,Bachelor's Degree,4,3,1,9,3,1,10,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-543,Female,Manufacturing Director,Single,Yes,38,Bachelor's Degree,3,3,3,4,3,4,10,4
No,2020,Non-Travel,R&D,Medical,STAFF-544,Male,Laboratory Technician,Single,No,44,Bachelor's Degree,1,1,3,2,3,3,9,3
No,2020,Travel_Frequently,Sales,Medical,STAFF-545,Female,Sales Executive,Divorced,Yes,47,Bachelor's Degree,3,4,3,9,3,4,28,2
No,2021,Travel_Rarely,Sales,Marketing,STAFF-546,Male,Sales Executive,Divorced,No,30,Doctoral Degree,3,2,4,7,4,4,10,2
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-547,Male,Sales Representative,Single,No,29,Bachelor's Degree,3,1,3,1,3,3,1,3
Yes,2021,Travel_Frequently,R&D,Medical,STAFF-548,Male,Research Scientist,Divorced,Yes,42,Bachelor's Degree,4,1,3,6,3,4,7,3
No,2020,Travel_Frequently,Sales,Life Sciences,STAFF-549,Male,Sales Executive,Married,No,43,Bachelor's Degree,2,2,4,3,3,3,7,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-550,Female,Healthcare Representative,Single,No,34,Associates Degree,3,2,3,3,3,4,10,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-551,Male,Laboratory Technician,Married,No,23,High School,3,1,1,1,3,4,5,4
No,2023,Travel_Rarely,HR,Human Resources,STAFF-552,Female,Human Resources,Married,No,39,Bachelor's Degree,4,2,2,9,3,3,12,1
No,2021,Travel_Rarely,R&D,Medical,STAFF-553,Male,Healthcare Representative,Married,No,56,Bachelor's Degree,3,4,4,7,3,3,30,2
No,2023,Travel_Rarely,R&D,Medical,STAFF-554,Female,Research Scientist,Single,Yes,40,High School,2,1,4,0,4,4,5,2
No,2020,Travel_Rarely,R&D,Medical,STAFF-555,Female,Healthcare Representative,Single,No,27,Bachelor's Degree,2,2,1,8,3,1,9,1
No,2020,Travel_Rarely,Sales,Marketing,STAFF-556,Male,Sales Representative,Divorced,No,29,Bachelor's Degree,3,1,2,1,3,4,2,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-557,Male,Laboratory Technician,Single,No,53,Bachelor's Degree,3,2,4,2,3,4,19,3
No,2022,Non-Travel,R&D,Life Sciences,STAFF-558,Female,Healthcare Representative,Divorced,No,35,Master's Degree,3,2,1,2,3,1,16,4
No,2022,Travel_Frequently,R&D,Life Sciences,STAFF-559,Male,Laboratory Technician,Married,No,32,Master's Degree,3,2,4,1,3,4,10,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-560,Male,Research Scientist,Married,Yes,38,Doctoral Degree,3,1,3,6,3,2,6,1
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-561,Female,Manufacturing Director,Divorced,No,34,Doctoral Degree,3,2,1,3,3,3,7,3
No,2021,Travel_Rarely,Sales,Marketing,STAFF-562,Male,Manager,Married,No,52,Master's Degree,2,4,1,1,3,1,34,4
Yes,2020,Travel_Rarely,R&D,Other,STAFF-563,Male,Research Scientist,Single,Yes,33,Master's Degree,3,1,4,1,3,3,10,2
No,2022,Travel_Rarely,Sales,Medical,STAFF-564,Female,Sales Executive,Single,No,25,High School,3,2,4,1,4,2,6,2
No,2020,Travel_Rarely,Sales,Technical Degree,STAFF-565,Male,Sales Representative,Single,No,45,Associates Degree,1,2,3,0,3,1,9,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-566,Male,Research Scientist,Single,No,23,High School,4,1,3,1,3,4,2,3
Yes,2020,Travel_Frequently,Sales,Life Sciences,STAFF-567,Female,Sales Executive,Single,Yes,47,Associates Degree,4,2,3,4,3,4,8,3
No,2023,Travel_Rarely,Sales,Other,STAFF-568,Male,Sales Executive,Single,No,34,Bachelor's Degree,3,2,4,1,4,3,6,3
Yes,2021,Travel_Rarely,R&D,Medical,STAFF-569,Male,Manager,Married,Yes,55,Bachelor's Degree,3,5,1,5,3,4,24,3
No,2023,Non-Travel,Sales,Life Sciences,STAFF-570,Male,Sales Executive,Single,No,36,Master's Degree,2,3,1,1,3,2,10,3
No,2023,Non-Travel,R&D,Medical,STAFF-571,Male,Research Scientist,Married,No,52,Master's Degree,3,1,4,0,3,1,5,3
No,2020,Travel_Frequently,R&D,Life Sciences,STAFF-572,Female,Laboratory Technician,Divorced,No,26,Associates Degree,1,1,4,3,3,1,5,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-573,Female,Healthcare Representative,Married,No,29,Bachelor's Degree,3,2,3,4,3,1,11,2
Yes,2022,Travel_Rarely,Sales,Technical Degree,STAFF-574,Male,Sales Executive,Single,No,26,Bachelor's Degree,2,2,1,6,3,3,6,2
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-575,Female,Research Scientist,Single,No,34,Master's Degree,4,1,4,2,3,3,10,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-576,Female,Manufacturing Director,Divorced,Yes,54,Master's Degree,3,2,1,9,3,2,9,3
No,2023,Travel_Frequently,Sales,Marketing,STAFF-577,Male,Sales Executive,Married,No,27,High School,3,2,4,0,3,2,5,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-578,Female,Research Scientist,Divorced,Yes,37,High School,3,1,1,0,3,2,6,2
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-579,Female,Manufacturing Director,Single,Yes,38,Master's Degree,4,2,1,6,3,4,17,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-580,Female,Research Scientist,Single,No,34,Master's Degree,2,1,1,1,3,3,6,3
No,2020,Travel_Rarely,Sales,Life Sciences,STAFF-581,Female,Sales Representative,Married,No,35,Master's Degree,3,1,4,1,3,2,3,2
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-582,Male,Laboratory Technician,Married,No,30,Bachelor's Degree,1,1,3,3,4,3,7,3
No,2020,Travel_Frequently,R&D,Medical,STAFF-583,Female,Healthcare Representative,Married,No,40,Associates Degree,4,2,2,1,4,4,8,3
No,2022,Travel_Rarely,Sales,Life Sciences,STAFF-584,Female,Sales Executive,Married,No,34,Associates Degree,3,2,1,5,3,2,6,3
No,2023,Travel_Frequently,R&D,Life Sciences,STAFF-585,Male,Manager,Divorced,No,42,Bachelor's Degree,3,5,4,1,3,2,24,2
Yes,2021,Travel_Rarely,R&D,Life Sciences,STAFF-586,Male,Laboratory Technician,Married,Yes,23,Bachelor's Degree,4,1,1,1,4,3,1,3
No,2021,Non-Travel,R&D,Life Sciences,STAFF-587,Male,Laboratory Technician,Divorced,No,24,Bachelor's Degree,2,1,2,1,3,3,1,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-588,Female,Laboratory Technician,Married,No,52,Master's Degree,3,2,3,8,4,2,9,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-589,Male,Research Director,Married,No,50,Bachelor's Degree,3,4,3,5,3,4,30,3
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-590,Female,Laboratory Technician,Married,Yes,29,Associates Degree,2,1,1,1,3,4,1,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-591,Male,Research Director,Married,No,33,Bachelor's Degree,3,3,3,0,3,4,14,4
Yes,2020,Travel_Rarely,Sales,Marketing,STAFF-592,Female,Sales Executive,Single,No,33,Bachelor's Degree,3,2,1,5,3,3,6,3
No,2020,Travel_Rarely,R&D,Other,STAFF-593,Female,Manager,Married,Yes,47,Associates Degree,3,4,4,1,3,3,26,2
No,2021,Travel_Rarely,R&D,Other,STAFF-594,Female,Manufacturing Director,Married,No,36,Bachelor's Degree,3,2,2,0,3,1,10,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-595,Male,Research Scientist,Married,No,29,Associates Degree,4,1,3,1,4,3,10,3
Yes,2022,Travel_Rarely,R&D,Life Sciences,STAFF-596,Male,Research Director,Single,Yes,58,Master's Degree,3,5,2,7,3,4,40,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-597,Female,Research Scientist,Single,No,35,Master's Degree,4,1,3,3,3,3,7,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-598,Female,Manufacturing Director,Married,Yes,42,Associates Degree,2,2,4,9,3,4,8,3
Yes,2020,Travel_Rarely,R&D,Medical,STAFF-599,Male,Research Scientist,Single,No,28,Master's Degree,3,1,3,6,3,4,5,2
No,2021,Travel_Rarely,HR,Human Resources,STAFF-600,Male,Human Resources,Married,No,36,Bachelor's Degree,3,1,2,4,3,2,8,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-601,Female,Manufacturing Director,Married,No,32,Bachelor's Degree,2,2,3,1,3,3,14,3
No,2022,Travel_Frequently,R&D,Medical,STAFF-602,Male,Laboratory Technician,Single,No,40,Master's Degree,2,2,3,6,3,4,10,3
No,2021,Travel_Rarely,R&D,Medical,STAFF-603,Female,Manufacturing Director,Single,Yes,30,Bachelor's Degree,2,2,4,5,4,2,12,2
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-604,Female,Research Scientist,Single,No,45,Bachelor's Degree,2,1,3,1,3,4,1,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-605,Male,Manufacturing Director,Married,No,42,Bachelor's Degree,3,2,2,1,3,4,10,2
No,2023,Travel_Frequently,R&D,Life Sciences,STAFF-606,Male,Healthcare Representative,Divorced,No,38,Bachelor's Degree,2,2,1,2,3,3,13,2
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-607,Female,Research Scientist,Single,No,34,Master's Degree,2,1,4,1,3,3,6,3
Yes,2022,Travel_Rarely,Sales,Marketing,STAFF-608,Female,Sales Executive,Married,No,49,Bachelor's Degree,3,3,4,1,3,1,9,4
